Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
21-320260.5,21-320260.5,Tidal Wave Auto Spa,"7920 Veterans Parkway, COLUMBUS, GA 31909",Retail,"",0,0,"","",,"August 27, 2021","September 24, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359894,,,,,,
21-320260.6,21-320260.6,Tidal Wave Auto Spa,"142 Wilkesboro Blvd, LENOIR, NC 28645",Retail,"",0,0,"","",,"August 27, 2021","September 24, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359895,,,,,,
21-320260.7,21-320260.7,Tidal Wave Auto Spa,"2851 John Hawkins Pkwy, HOOVER, AL 35244",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359896,,,,,,
21-320260.8,21-320260.8,Tidal Wave Auto Spa,"425 Grayson Hwy, LAWRENCEVILLE, GA 30046",Retail,"",0,0,"","",,"August 27, 2021","September 21, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359897,,,,,,
21-320260.9,21-320260.9,Tidal Wave Auto Spa,"2707 Watson Blvd, WARNER ROBINS, GA 31093",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359898,,,,,,
21-320260.10,21-320260.10,Tidal Wave Auto Spa,"1380 Bowens Mill Rd SW, DOUGLAS, GA 31533",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359899,,,,,,
21-320260.11,21-320260.11,Tidal Wave Auto Spa,"2910 Bienville Blvd, OCEAN SPGS, MS 39564",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359900,,,,,,
21-320260.12,21-320260.12,Tidal Wave Auto Spa,"4283 Salem Road, COVINGTON, GA 30016",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359902,,,,,,
21-320260.13,21-320260.13,Tidal Wave Auto Spa,"3500 Tampa Road, OLDSMAR, FL 34677",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359903,,,,,,
21-320260.14,21-320260.14,Tidal Wave Auto Spa,"727 SW Westbound US 40 Hwy., BLUE SPRINGS, MO 64015",Retail,"",0,0,"","",,"August 27, 2021","September 23, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359904,,,,,,
21-320260.15,21-320260.15,Tidal Wave Auto Spa,"3103 North St, NACOGDOCHES, TX 75965",Retail,"",0,0,"","",,"August 27, 2021","September 21, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359905,,,,,,
21-320260.16,21-320260.16,Tidal Wave Auto Spa,"3209 College Rd, OCALA, FL 34474",Retail,"",0,0,"","",,"August 27, 2021","September 21, 2021","September 30, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359906,,,,,,
21-335895.1,21-335895.1,Learning Care Group,"1001 S Potomac Street, BALTIMORE, MD 21224",Office,"",0.18,"","","",,"August 31, 2021","September 30, 2021",,,,,,,x,,,,1,"Learning Gate, The",,,https://www.SiteLynx.net/projects/360816,,,,,,
21-338823.1,21-338823.1,Collision Works SLB Portfolio (6 Units),"3131 N. Ridge Rd, WICHITA, KS 67205",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367347,,,,,,
21-338823.2,21-338823.2,Collision Works SLB Portfolio (6 Units),"10760 W. Kellogg, WICHITA, KS 67209",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367348,,,,,,
21-338823.3,21-338823.3,Collision Works SLB Portfolio (6 Units),"8532 E. 32nd St. N, WICHITA, KS 67226",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367349,,,,,,
21-338823.4,21-338823.4,Collision Works SLB Portfolio (6 Units),"220 E. Chestnut St., JUNCTION CITY, KS 66441",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367350,,,,,,
21-338823.5,21-338823.5,Collision Works SLB Portfolio (6 Units),"709 Blue Ridge Ext., GRANDVIEW, MO 64030",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367351,,,,,,
21-338823.6,21-338823.6,Collision Works SLB Portfolio (6 Units),"2400 Sunset Dr., EL RENO, OK 73036",Retail,"",0,0,"","",,"September 20, 2021",,,,,,,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/367352,,,,,,
21-335830.1,21-335830.1,Learning Care Group,"13620 E 103 St N, OWASSO, OK 74055",Healthcare,"",0,0,"","",,"August 27, 2021","September 17, 2021","November 09, 2021",,,,,,x,,,,2,"Learning Gate, The",,,https://www.SiteLynx.net/projects/360005,,,,,,
21-335031.1,21-335031.1,Learning Care Group,"7684 Leavitt Rd, AMHERST, OH 44001",Healthcare,"",0,0,"","",,"August 23, 2021","September 17, 2021","October 16, 2021",,,,,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358209,,,,,,
21-325319.5,21-325319.5,Family Dollar - Odem,"1711 Voss Avenue, ODEM, TX 78370",Retail,"","","10,500",1,2021,,"August 26, 2021","September 21, 2021",,"$7,500.00",$0.00,"$16,500.00",x,,,,,,3,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359629,,,,,,
21-320678.1,21-320678.1,Family Dollar - Dollar Tree - Newton,"188 Northside Drive, NEWTON, MS 39345",Retail,"","","10,580",1,2021,,"May 11, 2021","June 02, 2021","October 19, 2021","$1,600.00",$0.00,"$3,500.00",x,,x,,,,4,Realty Income Corporation,Family Dollar-Dollar Tree 4 Property Portfolio (MS),,https://www.SiteLynx.net/projects/324592,,,,,,
21-320678.5,21-320678.5,Family Dollar - Dollar Tree - Newton,"188 Northside Drive, NEWTON, MS 39345",Retail,"",0,0,"","",,"May 11, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/324598,,,,,,
21-333644.1,21-333644.1,Broadlands Business Park,"515 Fletchwood Road, ELKTON, MD 21921","Retail, office, industrial","","","757,690",1,2005,,"August 24, 2021","September 15, 2021","October 26, 2021","$51,700.00",$0.00,"$4,614,649.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358420,,,,,,
21-333644.2,21-333644.2,Broadlands Business Park,"515 Fletchwood Road, ELKTON, MD 21921",Industrial,"",71,"","","",,"August 24, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358421,,,,,,
21-333644.3,21-333644.3,Broadlands Business Park,"515 Fletchwood Road, ELKTON, MD 21921",Industrial,"",71,"","","",,"August 24, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358422,,,,,,
21-326713.1,21-326713.1,CSL Plasma,"1800 East Parmer Lane, Austin, TX 78754",Retail,"",0,0,1,2021,,"August 23, 2021","September 15, 2021","October 01, 2021","$7,500.00",$0.00,"$20,450.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/357953,,,,,,
21-326713.2,21-326713.2,CSL Plasma,"422 Wilson Street, Brewer, ME 04412",Retail,"",0,0,One,1998,,"August 23, 2021","September 18, 2021","October 08, 2021","$18,500.00",$0.00,"$526,765.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/357954,,,,,,
21-326713.7,21-326713.7,CSL Plasma,"512 West Mowry Drive, Homestead, FL 33030",Retail,"",0,0,1,2006,,"August 23, 2021","September 18, 2021","November 02, 2021","$3,500.00",$0.00,"$113,001.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/357955,,,,,,
21-326713.112,21-326713.112,CSL Plasma,"4830 South Broadway Street, Wichita, KS 67216",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/357959,,,,,,
21-326713.113,21-326713.113,CSL Plasma,"3377 Mahoning Avenue, Youngstown, OH 44509",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/360777,,,,,,
21-326713.4,21-326713.4,CSL Plasma,"2837 South Westmoreland, Dallas, TX 75233",Retail,"",0,0,1,2020,,"August 23, 2021","September 09, 2021","October 01, 2021","$15,250.00",$0.00,"$17,800.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358116,,,,,,
21-326713.8,21-326713.8,CSL Plasma,"3835 Northbrook Drive, Jackson, MS 39206",Retail,"",0,0,1,1998,,"August 23, 2021","September 18, 2021","October 08, 2021","$33,000.00","$84,000.00","$160,991.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358117,,,,,,
21-326713.9,21-326713.9,CSL Plasma,"5000 Norwood Avenue, Suite 8-15, Jacksonville, FL 32208",Retail,"",0,0,1,1940,,"August 23, 2021","September 18, 2021","October 08, 2021","$5,450.00",$0.00,"$29,800.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358118,,,,,,
21-326713.11,21-326713.11,CSL Plasma,"3220 South Nellis, Las Vegas, NV 89121",Retail,"",0,0,1,2008,,"August 23, 2021","September 18, 2021","October 08, 2021","$7,200.00",$0.00,"$195,100.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358119,,,,,,
21-326713.12,21-326713.12,CSL Plasma,"4150 North Las Vegas Boulevard, Las Vegas, NV 89115",Retail,"",0,0,1,1999,,"August 23, 2021","September 18, 2021","October 08, 2021","$6,700.00",$0.00,"$35,750.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358120,,,,,,
21-326713.14,21-326713.14,CSL Plasma,"471 Route 38 West, Maple Shade, NJ 8052",Retail,"",0,0,1,2000,,"August 23, 2021","September 18, 2021","October 09, 2021","$12,500.00",$0.00,"$143,469.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358122,,,,,,
21-326713.15,21-326713.15,CSL Plasma,"1321 South Madison Street, Muncie, IN 47302",Retail,"",0,0,1,1961,,"August 23, 2021","September 18, 2021","October 09, 2021","$5,300.00",$0.00,"$23,500.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358123,,,,,,
21-326713.16,21-326713.16,CSL Plasma,"1330 East State Highway 152, Mustang, OK 73064",Retail,"",0,0,1,2008,,"August 23, 2021","September 18, 2021","October 09, 2021","$17,700.00",$0.00,"$44,500.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358124,,,,,,
21-326713.17,21-326713.17,CSL Plasma,"5500 Lakeside Avenue, Richmond, VA 23228",Retail,"",0,0,1,1999,,"August 23, 2021","September 18, 2021","October 09, 2021","$30,500.00",$0.00,"$27,345.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358125,,,,,,
21-326713.18,21-326713.18,CSL Plasma,"2904 11th Street, Rock Island, IL 61201",Retail,"",0,0,1,1975,,"August 23, 2021","September 18, 2021","October 09, 2021","$35,500.00",$0.00,"$140,797.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358126,,,,,,
21-326713.19,21-326713.19,CSL Plasma,"702 South Thompson, Springdale, AR 72764",Retail,"",0,0,1,1968,,"August 23, 2021","September 18, 2021","October 09, 2021","$50,250.00",$0.00,"$22,500.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358127,,,,,,
21-326713.20,21-326713.20,CSL Plasma,"2035 South Reynolds Road, Toledo, OH 43614",Retail,"",0,0,1,1975,,"August 23, 2021","September 18, 2021","October 09, 2021","$21,677.50",$0.00,"$83,805.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358128,,,,,,
21-326713.23,21-326713.23,CSL Plasma,"34500 Ford Road, Westland, MI 48185",Retail,"",0,0,1,1969,,"August 23, 2021","September 18, 2021","October 09, 2021","$5,500.00",$0.00,"$21,000.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358129,,,,,,
21-326713.24,21-326713.24,CSL Plasma,"4830 South Broadway Street, Wichita, KS 67216",Retail,"",0,0,1,1976,,"August 23, 2021","September 20, 2021","October 09, 2021","$2,500.00",$0.00,"$17,000.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358130,,,,,,
21-326713.25,21-326713.25,CSL Plasma,"3377 Mahoning Avenue, Youngstown, OH 44509",Retail,"",0,0,1,1953,,"August 23, 2021","September 21, 2021","October 01, 2021","$3,500.00",$0.00,"$9,345.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358131,,,,,,
21-326713.29,21-326713.29,Talecris,"325 East Main Street, Lafayette, LA 70501",Retail,"",0,0,1,1975,,"August 23, 2021","September 23, 2021","October 09, 2021","$95,132.00",$0.00,"$51,650.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358132,,,,,,
21-326713.31,21-326713.31,Biomat,"501 North 900 East, Provo, UT 84606",Retail,"",0,0,"","",,"August 23, 2021","September 18, 2021","October 09, 2021",,,,x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358133,,,,,,
21-326713.33,21-326713.33,Talecris,"1910 Suburban Avenue, St. Paul, MN 55119",Retail,"",0,0,1,1973,,"August 23, 2021","September 27, 2021","October 15, 2021","$39,000.00",$600.00,"$208,902.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358134,,,,,,
21-326713.34,21-326713.34,Talecris,"601 Dorr Street, Toledo, OH 43604",Retail,"",0,0,1,1998,,"August 23, 2021","September 22, 2021","October 09, 2021","$13,200.00",$0.00,"$431,480.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358135,,,,,,
21-326713.35,21-326713.35,Biomat,"1309 East Red River Street, Victoria, TX 77901",Retail,"",0,0,1,1976,,"August 23, 2021","September 18, 2021","October 09, 2021","$10,950.00",$0.00,"$345,119.50",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358136,,,,,,
21-326713.37,21-326713.37,Kedrion,"8989 Forest Lane, Suite 100, Dallas Texas","Retail, office, industrial","","","12,000",1,1986,,"August 23, 2021","September 18, 2021","October 01, 2021","$31,500.00",$0.00,"$65,405.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358137,,,,,,
21-326713.40,21-326713.40,Octapharma,"8602 West Brown Deer Road, Milwaukee, WI 53224",Retail,"",0,0,1,1984,,"August 23, 2021","September 24, 2021","October 09, 2021","$24,400.00",$0.00,"$469,600.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358138,,,,,,
21-326713.41,21-326713.41,Octapharma,"3644 Avenue of the Cities, Moline, IL 61265",Retail,"",0,0,1,1960,,"August 23, 2021","September 18, 2021","October 09, 2021","$12,500.00",$0.00,"$380,072.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358139,,,,,,
21-326713.43,21-326713.43,Kedrion,"1805 Dalton Pike South East, Cleveland, TN 37311",Retail,"",0,0,1,1997,,"August 23, 2021","September 18, 2021","October 09, 2021","$2,400.00",$0.00,"$44,400.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358140,,,,,,
21-326713.44,21-326713.44,Kedrion,"3780 South Nova Road, Port Orange, FL 32129",Retail,"",0,0,1,1985,,"August 23, 2021","September 18, 2021","October 09, 2021","$8,700.00",$0.00,"$243,705.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358141,,,,,,
21-326713.55,21-326713.55,CSL Plasma,"3220 South Nellis, Las Vegas, NV 89121",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358142,,,,,,
21-326713.56,21-326713.56,CSL Plasma,"4150 North Las Vegas Boulevard, Las Vegas, NV 89115",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358143,,,,,,
21-326713.59,21-326713.59,CSL Plasma,"1321 South Madison Street, Muncie, IN 47302",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359722,,,,,,
21-326713.32,21-326713.32,Biomat,"630 West North Temple, Salt Lake City, UT 84116",Retail,"",0,0,"","",,"August 23, 2021","September 18, 2021","October 09, 2021",,,,x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358180,,,,,,
21-326713.42,21-326713.42,Octapharma,"907 North Hillside, Wichita, KS 67214",Retail,"",0,0,2,1958,,"August 23, 2021","September 22, 2021","October 09, 2021","$134,400.00",$0.00,"$133,200.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358181,,,,,,
21-326713.5,21-326713.5,CSL Plasma,"101 11th Street, Douglas, AZ 85607",Retail,"",0,0,One,1985,,"August 23, 2021","September 16, 2021","October 01, 2021","$531,100.00",$0.00,"$52,100.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358329,,,,,,
21-326713.3,21-326713.3,CSL Plasma,"1401 Washington, Suite A, Brownsville, TX 78520",Retail,"",0,0,2,1970,,"August 23, 2021","September 15, 2021","October 08, 2021","$14,000.00",$0.00,"$58,100.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358348,,,,,,
21-326713.46,21-326713.46,CSL Plasma,"422 Wilson Street, Brewer, ME 04412",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359689,,,,,,
21-326713.6,21-326713.6,CSL Plasma,"603 Ed Carey Drive, Harlingen, TX 78550",Retail,"",0,0,1,1980,,"August 23, 2021","September 15, 2021","October 08, 2021","$8,880.00",$0.00,"$113,550.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358349,,,,,,
21-326713.21,21-326713.21,CSL Plasma,"5845 North West 50th Street, Warr Acres, OK 73122",Retail,"",0,0,1,1960,,"August 23, 2021","September 18, 2021","October 09, 2021","$8,700.00",$0.00,"$35,908.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358351,,,,,,
21-326713.22,21-326713.22,CSL Plasma,"701 South International Boulevard, Weslaco, TX 78596",Retail,"",0,0,1,1985,,"August 23, 2021","September 22, 2021","October 09, 2021","$45,915.00",$0.00,"$50,600.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358352,,,,,,
21-326713.26,21-326713.26,Biomat,"336 East 2nd St, Calexico, CA 92231",Retail,"",0,0,1,2019,,"August 23, 2021","September 21, 2021","October 09, 2021","$4,760.00","$1,250.00","$25,700.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358353,,,,,,
21-326713.27,21-326713.27,Biomat,"219 South Jackson Road, Edinburg, TX 78539",Retail,"",0,0,1,2006,,"August 23, 2021","September 22, 2021","October 09, 2021","$16,425.00",$0.00,"$36,150.00",x,,x,,,,3,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358354,,,,,,
21-326713.28,21-326713.28,Biomat,"500 North Carolina Drive, El Paso, TX 79915",Retail,"",0,0,1,1976,,"August 23, 2021","September 18, 2021","October 09, 2021","$9,250.00",$0.00,"$15,400.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358355,,,,,,
21-326713.30,21-326713.30,Talecris,"3511 Desiard Street, Monroe, LA 71203",Retail,"",0,0,"","",,"August 23, 2021","September 18, 2021","October 09, 2021",,,,x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358356,,,,,,
21-326713.36,21-326713.36,Kedrion,"818 Martin Road, Amarillo, TX 79107",Retail,"",0,0,1,1960,,"August 23, 2021","November 09, 2021","October 09, 2021","$2,750.00",$0.00,"$132,787.50",x,,x,,,,3,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358357,,,,,,
21-326713.38,21-326713.38,Kedrion,"1363 West University Boulevard, Odessa Texas","Retail, office, industrial","","","13,000",1,1976,,"August 23, 2021","September 18, 2021","October 01, 2021","$6,000.00",$0.00,"$107,618.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358358,,,,,,
21-326713.39,21-326713.39,Kedrion,"9025 Mansfield Road, Shreveport, LA 71118",Retail,"",0,0,1,1982,,"August 23, 2021","September 18, 2021","October 09, 2021","$14,250.00",$0.00,"$109,625.00",x,,x,,,,4,Realty Income Corporation,Plasma Portfolio ,,https://www.SiteLynx.net/projects/358359,,,,,,
21-326713.51,21-326713.51,CSL Plasma,"512 West Mowry Drive, Homestead, FL 33030",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358750,,,,,,
21-326713.53,21-326713.53,CSL Plasma,"5000 Norwood Avenue, Suite 8-15, Jacksonville, FL 32208",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358751,,,,,,
21-326713.88,21-326713.88,Kedrion,"3780 South Nova Road, Port Orange, FL 32129",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/358752,,,,,,
21-326713.58,21-326713.58,CSL Plasma,"471 Route 38 West, Maple Shade, NJ 08052",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359127,,,,,,
21-326713.45,21-326713.45,CSL Plasma,"1800 Parmer Lane, Austin, TX 78754",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359242,,,,,,
21-326713.47,21-326713.47,CSL Plasma,"1401 Washington, Suite A, Brownsville, TX 78520",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359717,,,,,,
21-326713.48,21-326713.48,CSL Plasma,"2837 South Westmoreland, Dallas, TX 75233",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359718,,,,,,
21-326713.49,21-326713.49,CSL Plasma,"101 11th Street, Douglas, AZ 85607",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359719,,,,,,
21-326713.50,21-326713.50,CSL Plasma,"603 Ed Carey Drive, Harlingen, TX 78550",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359720,,,,,,
21-326713.52,21-326713.52,CSL Plasma,"3835 Northbrook Drive, Jackson, MS 39206",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359721,,,,,,
21-326713.60,21-326713.60,CSL Plasma,"1330 East State Highway 152, Mustang, OK 73064",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359723,,,,,,
21-326713.61,21-326713.61,CSL Plasma,"5500 Lakeside Avenue, Richmond, VA 23228",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359724,,,,,,
21-326713.62,21-326713.62,CSL Plasma,"2904 11th Street, Rock Island, IL 61201",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359725,,,,,,
21-326713.63,21-326713.63,CSL Plasma,"702 South Thompson, Springdale, AR 72764",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359726,,,,,,
21-326713.64,21-326713.64,CSL Plasma,"2035 South Reynolds Road, Toledo, OH 43614",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359727,,,,,,
21-326713.65,21-326713.65,CSL Plasma,"5845 North West 50th Street, Warr Acres, OK 73122",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359728,,,,,,
21-326713.66,21-326713.66,CSL Plasma,"701 South International Boulevard, Weslaco, TX 78596",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359729,,,,,,
21-326713.67,21-326713.67,CSL Plasma,"34500 Ford Road, Westland, MI 48185",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359730,,,,,,
21-326713.68,21-326713.68,CSL Plasma,"4830 South Broadway Street, Wichita, KS 67216",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359731,,,,,,
21-326713.69,21-326713.69,CSL Plasma,"3377 Mahoning Avenue, Youngstown, OH 44509",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359732,,,,,,
21-326713.70,21-326713.70,Biomat,"336 East 2nd Street, Calexico, CA 92231",Retail,"",0,0,"","",,"August 23, 2021",,,,,,,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/359733,,,,,,
