Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-356199.1,22-356199.1,FedEx Freight - Peru,"3033 May Road, PERU, IL 61354",Industrial,"","","15,400",1,2001,,"February 09, 2022","March 10, 2022",,"$193,000.00",$0.00,"$52,340.00",x,,x,,,,3,Realty Income Corporation,,,https://www.SiteLynx.net/projects/409886,,,,,,
22-357774.1,22-357774.1,Fiesta Mart - Dallas,"3030 South Lancaster Road, Dallas, Texas 75216","Retail, office, industrial","","","37,500",1,1995,,"February 09, 2022","March 09, 2022",,"$42,125.00",$0.00,"$463,424.00",x,,x,,,,3,Realty Income Corporation,,,https://www.SiteLynx.net/projects/409935,,,,,,
22-357774.2,22-357774.2,Fiesta Mart - Dallas,"3030 South Lancaster Road, DALLAS, TX 75216",Retail,"",0,0,"","",,"February 09, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/409936,,,,,,
22-357304.1,22-357304.1,Aaron's - Tomball,"27915 Tomball Parkway, TOMBALL, tx 77375","Retail, office, industrial","","",0,"",2011,,"February 15, 2022","March 09, 2022",,"$2,000.00",$0.00,"$89,100.00",x,,x,,,,3,Realty Income Corporation,Aaron's,,https://www.SiteLynx.net/projects/411655,,,,,,
22-357304.2,22-357304.2,Aaron's - Monticello,"307 Highway 425 N, MONTICELLO, AR 71655","Retail, office, industrial",Not applicable,"",0,"",2000,,"February 15, 2022","March 09, 2022",,"$17,400.00",$0.00,"$105,500.00",x,,x,,,,3,Realty Income Corporation,Aaron's,,https://www.SiteLynx.net/projects/411656,,,,,,
22-357304.3,22-357304.3,Aaron's - Muskegon,"1395 East Apple Avenue, MUSKEGON, MI 49442","Retail, office, industrial","","",0,"",1995,,"February 15, 2022","March 10, 2022",,"$10,000.00",$0.00,"$105,550.00",x,,x,,,,3,Realty Income Corporation,Aaron's,,https://www.SiteLynx.net/projects/411657,,,,,,
22-355277.1,22-355277.1,Target - Huntington Park,"5731 Bickett Street, HUNTINGTON PARK, CA 90255",Retail,"",0,0,1,1925,,"February 15, 2022","March 11, 2022",,$0.00,$0.00,"$52,000.00",x,,x,,,,3,Realty Income Corporation,,,https://www.SiteLynx.net/projects/411300,,,,,,
22-356796.1,22-356796.1,Hy-Vee - Cedar Falls,"6301 University Avenue, CEDAR FALLS, IA 50613","Retail, office, industrial",Not applicable,"","117,641",2,1969,,"February 15, 2022","March 08, 2022",,"$1,000.00",$0.00,"$1,219,750.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/411388,,,,,,
22-356796.2,22-356796.2,Hy-Vee - Cedar Falls,"6301 University Avenue, CEDAR FALLS, IA 50613",Retail,"",0,0,"","",,"February 15, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/411390,,,,,,
21-349845.1,21-349845.1,Spare Time - Chattanooga,"5518 Brainerd Road, CHATTANOOGA, TN 37411","Retail, office, industrial",Not applicable,"","43,503",1,1960,,"February 07, 2022","March 07, 2022","March 18, 2022","$239,100.00",$0.00,"$156,850.00",x,,x,,,,4,Realty Income Corporation,Spare Time 2-pk,,https://www.SiteLynx.net/projects/408749,,,,,,
21-349845.2,21-349845.2,Spare Time - Pineville,"9600 Pineville-Matthews Road, PINEVILLE, NC 28134",Retail,Not applicable,"","49,286",One with mezzanine,2001,,"February 07, 2022","March 07, 2022","March 18, 2022","$3,000.00",$0.00,"$251,600.00",x,,x,,,,4,Realty Income Corporation,Spare Time 2-pk,,https://www.SiteLynx.net/projects/408750,,,,,,
22-354107.1,22-354107.1,Children's Hospital of Philadelphia,"4 South County Line Road, SOUDERTON, PA 18964","Retail, office, industrial","","","12,500",1,2021,,"February 07, 2022","March 08, 2022",,$0.00,$0.00,"$24,200.00",x,,x,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/408763,,,,,,
21-350079.5,21-350079.5,Family Dollar-Dollar Tree - Dubach,"2021 McMullin Street, DUBACH, LA 71235",Retail,Not applicable,"","10,532",1,2021,,"February 11, 2022","March 09, 2022",,$0.00,$0.00,"$12,500.00",x,,,,,,2,Realty Income Corporation,,,https://www.SiteLynx.net/projects/410706,,,,,,
21-350079.6,21-350079.6,Family Dollar-Dollar Tree - Dubach,"2021 McMullin Street, DUBACH, LA 71235",Retail,"",0,0,"","",,"February 11, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/410708,,,,,,
22-356172.1,22-356172.1,Camel Car Wash (RI 7878),"722 South Harris Street, SANDERSVILLE, GA 31082",Retail,"",0,0,"","",,"February 01, 2022",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/407246,,,,,,
22-356631.1,22-356631.1,Gerber Collision & Glass - Battle Creek,"1508 Capital Avenue NE, Battle Creek, MI 49017",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407340,,,,,,
22-356631.2,22-356631.2,Gerber Collision & Glass - Huntsville,"2004 Washington Street NW, Huntsville, AL 35811",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407341,,,,,,
22-356631.3,22-356631.3,Gerber Collision & Glass - Pelham,"828 Highway 33, Pelham, AL 35124",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407342,,,,,,
22-356631.4,22-356631.4,Gerber Collision & Glass - Destin,"338 Mountain Drive, Destin, FL 32541",Retail,"",0,0,"","",,"February 02, 2022","March 01, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407343,,,,,,
22-356631.5,22-356631.5,Gerber Collision & Glass - Anniston,"1409 Commerce Boulevard, Anniston, AL 36207",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407344,,,,,,
22-356631.6,22-356631.6,Gerber Collision & Glass - Verona,"100 Sandy Creek Road, Verona, PA 15147",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407345,,,,,,
22-356631.7,22-356631.7,Gerber Collision & Glass - Kenosha,"5419 Washington Road, Kenosha, WI 53144",Retail,"",0,0,"","",,"February 02, 2022","February 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407346,,,,,,
22-356631.8,22-356631.8,Gerber Collision & Glass - Springfield,"2937-2947 Old Rochester Road, Springfield, IL 62703",Retail,"",0,0,"","",,"February 02, 2022","March 01, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407347,,,,,,
22-356631.9,22-356631.9,Gerber Collision & Glass - Conyers,"1290 Portman Drive SE, Conyers, GA 30094",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407348,,,,,,
22-356631.10,22-356631.10,Gerber Collision & Glass - Oskosh,"1825 South Washburn Street, Oshkosh, WI 54904",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407349,,,,,,
22-356631.11,22-356631.11,Gerber Collision & Glass - Morrow,"1285 Citizens Parkway, Morrow, GA 30260",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407350,,,,,,
22-356631.12,22-356631.12,Gerber Collision & Glass - Milwaukee,"6301 West Douglas Avenue, Milwaukee, WI 53218",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407351,,,,,,
22-356631.13,22-356631.13,Gerber Collision & Glass - Broken Arrow,"701, 709 & 711 West Freeport Street, Broken Arrow, OK 74012",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407352,,,,,,
22-356631.14,22-356631.14,Gerber Collision & Glass - Turtle Creek,"1267 Rodi Road, Turtle Creek, PA 15145",Retail,"",0,0,"","",,"February 02, 2022","February 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407353,,,,,,
22-356631.15,22-356631.15,Gerber Collision & Glass - Chicago,"1058-1062 West Huron Street, Chicago, IL 60642",Retail,"",0,0,"","",,"February 02, 2022","March 01, 2022",,,,,,,x,,,,1,Realty Income Corporation,Gerber Collision ESA,,https://www.SiteLynx.net/projects/407354,,,,,,
22-352748.1,22-352748.1,Family Dollar-Dollar Tree - Crofton,"230 South Madisonville Street, CROFTON, KY 42217",Retail,Not applicable,"","10,500",1,2021,,"February 02, 2022","February 26, 2022",,"$1,000.00",$0.00,"$20,300.00",x,,x,,,,4,Realty Income Corporation,,,https://www.SiteLynx.net/projects/407622,,,,,,
22-355281.1,22-355281.1,Learning Care Group,"1098 Country Club Drive, MANSFIELD, TX 76063",Healthcare,"",1.548,"","","",,"January 27, 2022","February 18, 2022",,,,,,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/405796,,,,,,
21-345676.2,21-345676.2,Aspen Dental,"12100 Jefferson Ave, NEWPORT NEWS, VA 23602",Office,"",0,0,"","",,"November 09, 2021",,,,,,,,,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/385334,,,,,,
