Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-358396.21,22-358396.21,Dollar General - Kuttawa,"407 Vista Drive, KUTTAWA, KY 42055",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428085,,,,,,
22-358396.22,22-358396.22,Dollar General - Lebanon,"1730 Raywick Road, LEBANON, KY 40033",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428086,,,,,,
22-358396.23,22-358396.23,Dollar General - Leitchfield,"2195 Beaver Dam Road, LEITCHFIELD, KY 42754",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428087,,,,,,
22-358396.24,22-358396.24,Dollar General - Lovelaceville,"239 East Walnut Street, LOVELACEVILLE, KY 42060",Retail,"",0,0,"","",,"April 06, 2022","April 22, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428088,,,,,,
22-358396.25,22-358396.25,Dollar General - Marion,"672 South Main Street, MARION, KY 42064",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428089,,,,,,
22-358396.26,22-358396.26,Dollar General - Munfordville,"1170 South Dixie Highway, MUNFORDVILLE, KY 42765",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428090,,,,,,
22-358396.27,22-358396.27,Dollar General - New Castle,"602 Eminence Road, NEW CASTLE, KY 40050","Retail, office, industrial",Not applicable,"","9,100",1,2016,,"April 06, 2022","April 26, 2022",,$0.00,$0.00,"$15,000.00",x,,x,,,,2,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428091,,,,,,
22-358396.28,22-358396.28,Dollar General - New Concord,"9521 State Route 121 South Murray, NEW CONCORD, KY 42071",Retail,Not applicable,"","9,300",1,2014,,"April 06, 2022","April 26, 2022",,$0.00,$0.00,"$44,000.00",x,,x,,,,2,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428092,,,,,,
22-358396.29,22-358396.29,Dollar General - Palmersville,"6235 Highway 89, PALMERSVILLE, TN 38241",Retail,"",0,0,"","",,"April 06, 2022","April 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428093,,,,,,
22-358396.30,22-358396.30,Dollar General - Park City,"101 Bon Ayr Road, PARK CITY, KY 42160",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428094,,,,,,
22-358396.31,22-358396.31,Dollar General - Princeton,"16868 Hopkinsville Road, PRINCETON, KY 42445",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428095,,,,,,
22-358396.32,22-358396.32,Dollar General - Russellville,"37 Franklin Road, RUSSELLVILLE, KY 42276",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428096,,,,,,
22-358396.33,22-358396.33,Dollar General - Sebree,"9251 US Highway 41A N, SEBREE, KY 42455",Retail,"",0,0,"","",,"April 06, 2022","April 25, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428097,,,,,,
22-358396.34,22-358396.34,Dollar General - Slaughters,"9515 US Highway 41 S, SLAUGHTERS, KY 42456",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428098,,,,,,
22-358396.35,22-358396.35,Dollar General - St. Charles,"6330 Nortonville Road, ST CHARLES, KY 42453",Retail,"",0,0,"","",,"April 06, 2022","April 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428099,,,,,,
22-358396.36,22-358396.36,Dollar General - Upton,"30 Ashton-Millerstown Road, UPTON, KY 42784",Retail,"",0,0,"","",,"April 06, 2022","April 26, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428100,,,,,,
22-358396.37,22-358396.37,Dollar General - White Plains,"318 West Greenville Road, WHITE PLAINS, KY 42464",Retail,"",0,0,"","",,"April 06, 2022","April 28, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428101,,,,,,
22-358396.38,22-358396.38,Dollar General - Worthville,"7518 Highway 227, WORTHVILLE, KY 41098",Retail,"",0,0,"","",,"April 06, 2022","April 27, 2022",,,,,,,x,,,,1,Realty Income Corporation,Dollar General 38 Property Portfolio ,,https://www.SiteLynx.net/projects/428102,,,,,,
