Asset #,Project Number,Project Name,Location,Property Type,Beds/Rooms/Units,Acres,Square Feet,Stories,Year Built / Renovated,Asset Mgr,Start,Draft,Final,Immediate,Short Term,Capital Reserve,PCA,PCA Cost,ESA,ESA Cost,PML,PML Cost,# of Docs,Client,Portfolio,Vendor,Link,"","","","","",""
22-365510.1,22-365510.1,Family Dollar - Lucedale,"2121 Highway 63 South, LUCEDALE, MS 39452",Retail,"",2.2,"","","",,"April 01, 2022",,,"$5,300.00",$0.00,"$9,620.00",x,,x,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/426660,,,,,,
22-365510.2,22-365510.2,Family Dollar - Kiln,"21350 Highway 603, KILN, MS 39556",Retail,Not applicable,1.3,"10,516",1,2022,,"April 01, 2022","April 19, 2022",,"$12,800.00",$0.00,"$9,163.20",x,,x,,,,1,Realty Income Corporation,,,https://www.SiteLynx.net/projects/426661,,,,,,
22-365510.3,22-365510.3,Family Dollar - Lucedale,"2121 Highway 63 South, LUCEDALE, MS 39452",Retail,"",1,"","","",,"April 01, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/426664,,,,,,
22-365510.4,22-365510.4,Family Dollar - Kiln,"21350 Highway 603, KILN, MS 39556",Retail,"",1,"","","",,"April 01, 2022",,,,,,,,,,,,,Realty Income Corporation,,,https://www.SiteLynx.net/projects/426665,,,,,,
